resultId,raceId,driverId,constructorId,grid,position,year,round,circuitId,date,dob,driver_age,driver_experience,driver_constructor_experience,driver_wins,constructor_wins,driver_points,driver_standing,constructor_points,constructor_standing,circuit_danger
20325,337,1,1,4,3.0,2010,1,3,2010-03-14,1985-01-07,25,52,52,11.0,1.0,0.0,0.0,0.0,0.0,0.66667
20327,337,3,131,5,5.0,2010,1,3,2010-03-14,1985-06-27,24,70,0,0.0,0.0,0.0,0.0,0.0,0.0,0.66667
20323,337,4,6,3,1.0,2010,1,3,2010-03-14,1981-07-29,28,140,0,21.0,0.0,0.0,0.0,0.0,0.0,0.66667
20337,337,5,205,21,15.0,2010,1,3,2010-03-14,1981-10-19,28,52,0,1.0,0.0,0.0,0.0,0.0,0.0,0.66667
20333,337,9,4,9,11.0,2010,1,3,2010-03-14,1984-12-07,25,57,0,1.0,0.0,0.0,0.0,0.0,0.0,0.66667
20324,337,13,6,2,2.0,2010,1,3,2010-03-14,1981-04-25,28,116,63,11.0,1.0,0.0,0.0,43.0,1.0,0.66667
20339,337,15,205,20,17.0,2010,1,3,2010-03-14,1974-07-13,35,219,0,1.0,0.0,0.0,0.0,0.0,9.0,0.66667
20334,337,16,10,10,12.0,2010,1,3,2010-03-14,1983-01-11,27,52,35,0.0,0.0,0.0,0.0,0.0,0.0,0.66667
20330,337,17,9,6,8.0,2010,1,3,2010-03-14,1976-08-27,33,140,52,2.0,3.0,0.0,0.0,0.0,0.0,0.66667
20329,337,18,1,8,7.0,2010,1,3,2010-03-14,1980-01-19,30,172,0,7.0,11.0,0.0,0.0,21.0,2.0,0.66667
20326,337,20,9,1,4.0,2010,1,3,2010-03-14,1987-07-03,22,43,17,4.0,2.0,0.0,0.0,16.0,4.0,0.66667
20332,337,22,3,11,10.0,2010,1,3,2010-03-14,1972-05-23,37,288,0,11.0,0.0,0.0,0.0,0.0,0.0,0.66667
20331,337,24,10,12,9.0,2010,1,3,2010-03-14,1980-08-06,29,44,5,0.0,0.0,0.0,0.0,2.0,5.0,0.66667
20328,337,30,131,7,6.0,2010,1,3,2010-03-14,1969-01-03,41,250,0,91.0,0.0,0.0,0.0,18.0,3.0,0.66667
20338,337,67,5,15,16.0,2010,1,3,2010-03-14,1988-10-31,21,17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.66667
20335,337,153,5,18,13.0,2010,1,3,2010-03-14,1990-03-23,19,8,8,0.0,0.0,0.0,0.0,0.0,8.0,0.66667
20336,337,807,3,13,14.0,2010,1,3,2010-03-14,1987-08-19,22,0,0,0.0,0.0,0.0,0.0,1.0,6.0,0.66667
20352,338,1,1,11,6.0,2010,2,1,2010-03-28,1985-01-07,25,53,53,11.0,0.0,15.0,3.0,21.0,2.0,1.84615
20351,338,3,131,6,5.0,2010,2,1,2010-03-28,1985-06-27,24,71,1,0.0,0.0,10.0,5.0,18.0,3.0,1.84615
20350,338,4,6,3,4.0,2010,2,1,2010-03-28,1981-07-29,28,141,1,22.0,11.0,25.0,1.0,43.0,1.0,1.84615
20359,338,5,205,19,13.0,2010,2,1,2010-03-28,1981-10-19,28,53,1,1.0,0.0,0.0,15.0,0.0,9.0,1.84615
20348,338,9,4,9,2.0,2010,2,1,2010-03-28,1984-12-07,25,58,1,1.0,0.0,0.0,11.0,0.0,7.0,1.84615
20349,338,13,6,5,3.0,2010,2,1,2010-03-28,1981-04-25,28,117,64,11.0,1.0,18.0,2.0,70.0,1.0,1.84615
20355,338,17,9,2,9.0,2010,2,1,2010-03-28,1976-08-27,33,141,53,2.0,4.0,4.0,8.0,16.0,4.0,1.84615
20347,338,18,1,4,1.0,2010,2,1,2010-03-28,1980-01-19,30,173,1,7.0,11.0,6.0,7.0,54.0,2.0,1.84615
20354,338,22,3,8,8.0,2010,2,1,2010-03-28,1972-05-23,37,289,1,11.0,0.0,1.0,10.0,1.0,6.0,1.84615
20353,338,24,10,13,7.0,2010,2,1,2010-03-28,1980-08-06,29,45,6,0.0,0.0,2.0,9.0,8.0,6.0,1.84615
20356,338,30,131,7,10.0,2010,2,1,2010-03-28,1969-01-03,41,251,1,91.0,0.0,8.0,6.0,29.0,3.0,1.84615
20358,338,37,15,14,12.0,2010,2,1,2010-03-28,1971-02-24,39,73,1,0.0,0.0,0.0,18.0,0.0,10.0,1.84615
20357,338,153,5,17,11.0,2010,2,1,2010-03-28,1990-03-23,20,9,9,0.0,0.0,0.0,13.0,0.0,8.0,1.84615
20360,338,812,164,22,14.0,2010,2,1,2010-03-28,1984-01-19,26,1,1,0.0,0.0,0.0,24.0,0.0,11.0,1.84615
20376,339,1,1,20,6.0,2010,3,2,2010-04-04,1985-01-07,25,54,54,11.0,1.0,23.0,4.0,54.0,2.0,0.75
