round,name,url
1,Bahrain Grand Prix,https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix
2,Saudi Arabian Grand Prix,https://en.wikipedia.org/wiki/2024_Saudi_Arabian_Grand_Prix
3,Australian Grand Prix,https://en.wikipedia.org/wiki/2024_Australian_Grand_Prix
4,Japanese Grand Prix,https://en.wikipedia.org/wiki/2024_Japanese_Grand_Prix
5,Chinese Grand Prix,https://en.wikipedia.org/wiki/2024_Chinese_Grand_Prix
6,Miami Grand Prix,https://en.wikipedia.org/wiki/2024_Miami_Grand_Prix
7,Emilia Romagna Grand Prix,https://en.wikipedia.org/wiki/2024_Emilia_Romagna_Grand_Prix
8,Monaco Grand Prix,https://en.wikipedia.org/wiki/2024_Monaco_Grand_Prix
9,Canadian Grand Prix,https://en.wikipedia.org/wiki/2024_Canadian_Grand_Prix
10,Spanish Grand Prix,https://en.wikipedia.org/wiki/2024_Spanish_Grand_Prix
11,Austrian Grand Prix,https://en.wikipedia.org/wiki/2024_Austrian_Grand_Prix
12,British Grand Prix,https://en.wikipedia.org/wiki/2024_British_Grand_Prix
13,Hungarian Grand Prix,https://en.wikipedia.org/wiki/2024_Hungarian_Grand_Prix
14,Belgian Grand Prix,https://en.wikipedia.org/wiki/2024_Belgian_Grand_Prix
15,Dutch Grand Prix,https://en.wikipedia.org/wiki/2024_Dutch_Grand_Prix
16,Italian Grand Prix,https://en.wikipedia.org/wiki/2024_Italian_Grand_Prix
17,Azerbaijan Grand Prix,https://en.wikipedia.org/wiki/2024_Azerbaijan_Grand_Prix
18,Singapore Grand Prix,https://en.wikipedia.org/wiki/2024_Singapore_Grand_Prix
19,United States Grand Prix,https://en.wikipedia.org/wiki/2024_United_States_Grand_Prix
20,Mexico City Grand Prix,https://en.wikipedia.org/wiki/2024_Mexico_City_Grand_Prix
21,São Paulo Grand Prix,https://en.wikipedia.org/wiki/2024_S%C3%A3o_Paulo_Grand_Prix
22,Las Vegas Grand Prix,https://en.wikipedia.org/wiki/2024_Las_Vegas_Grand_Prix
23,Qatar Grand Prix,https://en.wikipedia.org/wiki/2024_Qatar_Grand_Prix
24,Abu Dhabi Grand Prix,https://en.wikipedia.org/wiki/2024_Abu_Dhabi_Grand_Prix
