resultId,raceId,driverId,constructorId,grid,position,year,round,circuitId,date,dob,driver_age,driver_experience,driver_constructor_experience,driver_wins,constructor_wins,driver_points,driver_standing,constructor_points,constructor_standing
20325,337,1,1,4,3.0,2010,1,3,2010-03-14,1985-01-07,25,52,52,11.0,1.0,0.0,0.0,0.0,0.0
20327,337,3,131,5,5.0,2010,1,3,2010-03-14,1985-06-27,24,70,0,0.0,0.0,0.0,0.0,0.0,0.0
20323,337,4,6,3,1.0,2010,1,3,2010-03-14,1981-07-29,28,140,0,21.0,0.0,0.0,0.0,0.0,0.0
20337,337,5,205,21,15.0,2010,1,3,2010-03-14,1981-10-19,28,52,0,1.0,0.0,0.0,0.0,0.0,0.0
20333,337,9,4,9,11.0,2010,1,3,2010-03-14,1984-12-07,25,57,0,1.0,0.0,0.0,0.0,0.0,0.0
20342,337,10,166,19,,2010,1,3,2010-03-14,1982-03-18,27,37,0,0.0,0.0,0.0,0.0,0.0,0.0
20324,337,13,6,2,2.0,2010,1,3,2010-03-14,1981-04-25,28,116,63,11.0,1.0,0.0,0.0,43.0,1.0
20339,337,15,205,20,17.0,2010,1,3,2010-03-14,1974-07-13,35,219,0,1.0,0.0,0.0,0.0,0.0,9.0
20334,337,16,10,10,12.0,2010,1,3,2010-03-14,1983-01-11,27,52,35,0.0,0.0,0.0,0.0,0.0,0.0
20330,337,17,9,6,8.0,2010,1,3,2010-03-14,1976-08-27,33,140,52,2.0,4.0,0.0,0.0,0.0,0.0
20329,337,18,1,8,7.0,2010,1,3,2010-03-14,1980-01-19,30,172,0,7.0,11.0,0.0,0.0,21.0,2.0
20326,337,20,9,1,4.0,2010,1,3,2010-03-14,1987-07-03,22,43,17,5.0,2.0,0.0,0.0,16.0,4.0
20332,337,22,3,11,10.0,2010,1,3,2010-03-14,1972-05-23,37,288,0,11.0,0.0,0.0,0.0,0.0,0.0
20331,337,24,10,12,9.0,2010,1,3,2010-03-14,1980-08-06,29,44,5,0.0,0.0,0.0,0.0,2.0,5.0
